 INFO file_name: C:/dev/visualStudio/transpiler/Vandior/input.vn
 INFO Tokens:
 INFO (typ: K_FUN, sl: (ln: 1, cln: 0))
 INFO (typ: IDENT, sl: (ln: 1, cln: 4))
 INFO (typ: OPEN_PAR, sl: (ln: 1, cln: 12))
 INFO (typ: IDENT, sl: (ln: 1, cln: 13))
 INFO (typ: COLON, sl: (ln: 1, cln: 16))
 INFO (typ: I8, sl: (ln: 1, cln: 18))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 1, cln: 20))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 1, cln: 21))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 1, cln: 22))
 INFO (typ: INT, sl: (ln: 1, cln: 23))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 1, cln: 24))
 INFO (typ: CLOSE_PAR, sl: (ln: 1, cln: 25))
 INFO (typ: COLON, sl: (ln: 1, cln: 26))
 INFO (typ: I8, sl: (ln: 1, cln: 28))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 1, cln: 30))
 INFO (typ: INT, sl: (ln: 1, cln: 31))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 1, cln: 32))
 INFO (typ: COMMA, sl: (ln: 1, cln: 33))
 INFO (typ: IDENT, sl: (ln: 1, cln: 35))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 1, cln: 43))
 INFO (typ: IDENT, sl: (ln: 2, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 2, cln: 8))
 INFO (typ: STR, val: 'Funzione:\t{}', sl: (ln: 2, cln: 9))
 INFO (typ: COMMA, sl: (ln: 2, cln: 24))
 INFO (typ: IDENT, sl: (ln: 2, cln: 26))
 INFO (typ: CLOSE_PAR, sl: (ln: 2, cln: 29))
 INFO (typ: K_VAR, sl: (ln: 3, cln: 1))
 INFO (typ: IDENT, sl: (ln: 3, cln: 5))
 INFO (typ: COLON, sl: (ln: 3, cln: 6))
 INFO (typ: STRING, sl: (ln: 3, cln: 8))
 INFO (typ: EQUAL_OP, sl: (ln: 3, cln: 15))
 INFO (typ: STR, val: 'CCCCC', sl: (ln: 3, cln: 17))
 INFO (typ: K_VAR, sl: (ln: 4, cln: 1))
 INFO (typ: IDENT, sl: (ln: 4, cln: 5))
 INFO (typ: COLON, sl: (ln: 4, cln: 6))
 INFO (typ: IDENT, sl: (ln: 4, cln: 8))
 INFO (typ: K_RETURN, sl: (ln: 5, cln: 1))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 5, cln: 8))
 INFO (typ: INT, sl: (ln: 5, cln: 9))
 INFO (typ: COMMA, sl: (ln: 5, cln: 10))
 INFO (typ: INT, sl: (ln: 5, cln: 12))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 5, cln: 13))
 INFO (typ: COMMA, sl: (ln: 5, cln: 14))
 INFO (typ: IDENT, sl: (ln: 5, cln: 16))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 6, cln: 0))
 INFO (typ: K_FUN, sl: (ln: 7, cln: 0))
 INFO (typ: IDENT, sl: (ln: 7, cln: 4))
 INFO (typ: OPEN_PAR, sl: (ln: 7, cln: 8))
 INFO (typ: CLOSE_PAR, sl: (ln: 7, cln: 9))
 INFO (typ: COLON, sl: (ln: 7, cln: 10))
 INFO (typ: CHAR, sl: (ln: 7, cln: 12))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 7, cln: 17))
 INFO (typ: K_RETURN, sl: (ln: 8, cln: 1))
 INFO (typ: CH, val: 'c', sl: (ln: 8, cln: 8))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 9, cln: 0))
 INFO (typ: K_FUN, sl: (ln: 10, cln: 0))
 INFO (typ: IDENT, sl: (ln: 10, cln: 4))
 INFO (typ: OPEN_PAR, sl: (ln: 10, cln: 8))
 INFO (typ: IDENT, sl: (ln: 10, cln: 9))
 INFO (typ: COLON, sl: (ln: 10, cln: 12))
 INFO (typ: U64, sl: (ln: 10, cln: 14))
 INFO (typ: CLOSE_PAR, sl: (ln: 10, cln: 17))
 INFO (typ: COLON, sl: (ln: 10, cln: 18))
 INFO (typ: CHAR, sl: (ln: 10, cln: 20))
 INFO (typ: COMMA, sl: (ln: 10, cln: 24))
 INFO (typ: BOOL, sl: (ln: 10, cln: 26))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 10, cln: 31))
 INFO (typ: K_RETURN, sl: (ln: 11, cln: 1))
 INFO (typ: CH, val: 'a', sl: (ln: 11, cln: 8))
 INFO (typ: COMMA, sl: (ln: 11, cln: 11))
 INFO (typ: BOOL, sl: (ln: 11, cln: 13))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 12, cln: 0))
 INFO (typ: COMMENT, sl: (ln: 14, cln: 0))
 INFO (typ: IDENT, sl: (ln: 19, cln: 0))
 INFO (typ: IDENT, sl: (ln: 19, cln: 6))
 INFO (typ: COLON, sl: (ln: 19, cln: 10))
 INFO (typ: U32, sl: (ln: 19, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 19, cln: 16))
 INFO (typ: INT, sl: (ln: 19, cln: 18))
 INFO (typ: PLUS_OP, sl: (ln: 19, cln: 22))
 INFO (typ: INT, sl: (ln: 19, cln: 24))
 INFO (typ: COMMENT, sl: (ln: 19, cln: 31))
 INFO (typ: IDENT, sl: (ln: 20, cln: 0))
 INFO (typ: IDENT, sl: (ln: 20, cln: 6))
 INFO (typ: COLON, sl: (ln: 20, cln: 10))
 INFO (typ: U32, sl: (ln: 20, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 20, cln: 16))
 INFO (typ: INT, sl: (ln: 20, cln: 18))
 INFO (typ: STAR_OP, sl: (ln: 20, cln: 28))
 INFO (typ: INT, sl: (ln: 20, cln: 30))
 INFO (typ: IDENT, sl: (ln: 21, cln: 0))
 INFO (typ: IDENT, sl: (ln: 21, cln: 6))
 INFO (typ: COLON, sl: (ln: 21, cln: 10))
 INFO (typ: U32, sl: (ln: 21, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 21, cln: 16))
 INFO (typ: IDENT, sl: (ln: 21, cln: 18))
 INFO (typ: IDENT, sl: (ln: 22, cln: 0))
 INFO (typ: IDENT, sl: (ln: 22, cln: 6))
 INFO (typ: COLON, sl: (ln: 22, cln: 12))
 INFO (typ: F64, sl: (ln: 22, cln: 14))
 INFO (typ: EQUAL_OP, sl: (ln: 22, cln: 18))
 INFO (typ: DBL, sl: (ln: 22, cln: 20))
 INFO (typ: STAR_OP, sl: (ln: 22, cln: 36))
 INFO (typ: IDENT, sl: (ln: 22, cln: 38))
 INFO (typ: PLUS_OP, sl: (ln: 22, cln: 43))
 INFO (typ: IDENT, sl: (ln: 22, cln: 45))
 INFO (typ: IDENT, sl: (ln: 23, cln: 0))
 INFO (typ: IDENT, sl: (ln: 23, cln: 6))
 INFO (typ: COLON, sl: (ln: 23, cln: 17))
 INFO (typ: C64, sl: (ln: 23, cln: 19))
 INFO (typ: EQUAL_OP, sl: (ln: 23, cln: 23))
 INFO (typ: DBL, sl: (ln: 23, cln: 25))
 INFO (typ: PLUS_OP, sl: (ln: 23, cln: 31))
 INFO (typ: DBL, sl: (ln: 23, cln: 33))
 INFO (typ: PLUS_OP, sl: (ln: 23, cln: 38))
 INFO (typ: DBL, sl: (ln: 23, cln: 40))
 INFO (typ: PLUS_OP, sl: (ln: 23, cln: 46))
 INFO (typ: IDENT, sl: (ln: 23, cln: 48))
 INFO (typ: STAR_OP, sl: (ln: 23, cln: 54))
 INFO (typ: INT, sl: (ln: 23, cln: 56))
 INFO (typ: IDENT, sl: (ln: 24, cln: 0))
 INFO (typ: IDENT, sl: (ln: 24, cln: 6))
 INFO (typ: COLON, sl: (ln: 24, cln: 11))
 INFO (typ: BOOL, sl: (ln: 24, cln: 13))
 INFO (typ: EQUAL_OP, sl: (ln: 24, cln: 18))
 INFO (typ: INT, sl: (ln: 24, cln: 20))
 INFO (typ: EQUAL_OP, sl: (ln: 24, cln: 22))
 INFO (typ: EQUAL_OP, sl: (ln: 24, cln: 23))
 INFO (typ: INT, sl: (ln: 24, cln: 25))
 INFO (typ: OROR_OP, sl: (ln: 24, cln: 27))
 INFO (typ: NOT_OP, sl: (ln: 24, cln: 30))
 INFO (typ: BOOL, sl: (ln: 24, cln: 31))
 INFO (typ: ANDAND_OP, sl: (ln: 24, cln: 37))
 INFO (typ: INT, sl: (ln: 24, cln: 40))
 INFO (typ: LESS_OP, sl: (ln: 24, cln: 43))
 INFO (typ: DBL, sl: (ln: 24, cln: 45))
 INFO (typ: K_MAIN, sl: (ln: 25, cln: 0))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 25, cln: 5))
 INFO (typ: K_VAR, sl: (ln: 26, cln: 1))
 INFO (typ: IDENT, sl: (ln: 26, cln: 5))
 INFO (typ: COLON, sl: (ln: 26, cln: 10))
 INFO (typ: F64, sl: (ln: 26, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 26, cln: 16))
 INFO (typ: INT, sl: (ln: 26, cln: 18))
 INFO (typ: K_VAR, sl: (ln: 27, cln: 1))
 INFO (typ: IDENT, sl: (ln: 27, cln: 5))
 INFO (typ: COLON, sl: (ln: 27, cln: 10))
 INFO (typ: F64, sl: (ln: 27, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 27, cln: 16))
 INFO (typ: IDENT, sl: (ln: 27, cln: 18))
 INFO (typ: IDENT, sl: (ln: 28, cln: 1))
 INFO (typ: EQUAL_OP, sl: (ln: 28, cln: 7))
 INFO (typ: IDENT, sl: (ln: 28, cln: 9))
 INFO (typ: K_FOR, sl: (ln: 29, cln: 1))
 INFO (typ: K_VAR, sl: (ln: 29, cln: 5))
 INFO (typ: IDENT, sl: (ln: 29, cln: 9))
 INFO (typ: COLON, sl: (ln: 29, cln: 10))
 INFO (typ: I32, sl: (ln: 29, cln: 12))
 INFO (typ: EQUAL_OP, sl: (ln: 29, cln: 16))
 INFO (typ: INT, sl: (ln: 29, cln: 18))
 INFO (typ: COMMA, sl: (ln: 29, cln: 19))
 INFO (typ: IDENT, sl: (ln: 29, cln: 21))
 INFO (typ: DOT_OP, sl: (ln: 29, cln: 25))
 INFO (typ: IDENT, sl: (ln: 29, cln: 26))
 INFO (typ: OPEN_PAR, sl: (ln: 29, cln: 30))
 INFO (typ: CLOSE_PAR, sl: (ln: 29, cln: 31))
 INFO (typ: OPEN_CUR_PAR, sl: (ln: 29, cln: 33))
 INFO (typ: IDENT, sl: (ln: 30, cln: 2))
 INFO (typ: OPEN_PAR, sl: (ln: 30, cln: 9))
 INFO (typ: IDENT, sl: (ln: 30, cln: 10))
 INFO (typ: OPEN_SQ_PAR, sl: (ln: 30, cln: 14))
 INFO (typ: IDENT, sl: (ln: 30, cln: 15))
 INFO (typ: CLOSE_SQ_PAR, sl: (ln: 30, cln: 16))
 INFO (typ: CLOSE_PAR, sl: (ln: 30, cln: 17))
 INFO (typ: CLOSE_CUR_PAR, sl: (ln: 31, cln: 1))
 INFO (typ: K_VAR, sl: (ln: 32, cln: 1))
 INFO (typ: IDENT, sl: (ln: 32, cln: 5))
 INFO (typ: COLON, sl: (ln: 32, cln: 18))
 INFO (typ: C32, sl: (ln: 32, cln: 20))
 INFO (typ: EQUAL_OP, sl: (ln: 32, cln: 24))
 INFO (typ: MINUS_OP, sl: (ln: 32, cln: 26))
 INFO (typ: DBL, sl: (ln: 32, cln: 27))
 INFO (typ: PLUS_OP, sl: (ln: 32, cln: 32))
 INFO (typ: INT, sl: (ln: 32, cln: 34))
 INFO (typ: IDENT, sl: (ln: 33, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 33, cln: 8))
 INFO (typ: STR, val: 'c32:\t{}', sl: (ln: 33, cln: 9))
 INFO (typ: COMMA, sl: (ln: 33, cln: 19))
 INFO (typ: IDENT, sl: (ln: 33, cln: 21))
 INFO (typ: CLOSE_PAR, sl: (ln: 33, cln: 34))
 INFO (typ: K_VAR, sl: (ln: 34, cln: 1))
 INFO (typ: IDENT, sl: (ln: 34, cln: 5))
 INFO (typ: COLON, sl: (ln: 34, cln: 18))
 INFO (typ: C64, sl: (ln: 34, cln: 20))
 INFO (typ: EQUAL_OP, sl: (ln: 34, cln: 24))
 INFO (typ: INT, sl: (ln: 34, cln: 26))
 INFO (typ: IDENT, sl: (ln: 35, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 35, cln: 8))
 INFO (typ: STR, val: 'c64:\t{}', sl: (ln: 35, cln: 9))
 INFO (typ: COMMA, sl: (ln: 35, cln: 19))
 INFO (typ: IDENT, sl: (ln: 35, cln: 21))
 INFO (typ: CLOSE_PAR, sl: (ln: 35, cln: 34))
 INFO (typ: K_VAR, sl: (ln: 36, cln: 1))
 INFO (typ: IDENT, sl: (ln: 36, cln: 5))
 INFO (typ: COLON, sl: (ln: 36, cln: 12))
 INFO (typ: I8, sl: (ln: 36, cln: 14))
 INFO (typ: EQUAL_OP, sl: (ln: 36, cln: 17))
 INFO (typ: INT, sl: (ln: 36, cln: 19))
 INFO (typ: IDENT, sl: (ln: 37, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 37, cln: 6))
 INFO (typ: STR, val: '{}', sl: (ln: 37, cln: 7))
 INFO (typ: COMMA, sl: (ln: 37, cln: 11))
 INFO (typ: IDENT, sl: (ln: 37, cln: 13))
 INFO (typ: CLOSE_PAR, sl: (ln: 37, cln: 20))
 INFO (typ: K_VAR, sl: (ln: 38, cln: 1))
 INFO (typ: IDENT, sl: (ln: 38, cln: 5))
 INFO (typ: COMMA, sl: (ln: 38, cln: 9))
 INFO (typ: IDENT, sl: (ln: 38, cln: 11))
 INFO (typ: COLON, sl: (ln: 38, cln: 15))
 INFO (typ: IDENT, sl: (ln: 38, cln: 17))
 INFO (typ: EQUAL_OP, sl: (ln: 38, cln: 24))
 INFO (typ: IDENT, sl: (ln: 38, cln: 26))
 INFO (typ: OPEN_PAR, sl: (ln: 38, cln: 32))
 INFO (typ: CLOSE_PAR, sl: (ln: 38, cln: 33))
 INFO (typ: COMMA, sl: (ln: 38, cln: 34))
 INFO (typ: IDENT, sl: (ln: 38, cln: 36))
 INFO (typ: OPEN_PAR, sl: (ln: 38, cln: 43))
 INFO (typ: CLOSE_PAR, sl: (ln: 38, cln: 44))
 INFO (typ: IDENT, sl: (ln: 39, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 39, cln: 8))
 INFO (typ: STR, val: 'Before first swap:\t{} {}', sl: (ln: 39, cln: 9))
 INFO (typ: COMMA, sl: (ln: 39, cln: 36))
 INFO (typ: IDENT, sl: (ln: 39, cln: 38))
 INFO (typ: COMMA, sl: (ln: 39, cln: 42))
 INFO (typ: IDENT, sl: (ln: 39, cln: 44))
 INFO (typ: CLOSE_PAR, sl: (ln: 39, cln: 48))
 INFO (typ: IDENT, sl: (ln: 40, cln: 1))
 INFO (typ: COMMA, sl: (ln: 40, cln: 5))
 INFO (typ: IDENT, sl: (ln: 40, cln: 7))
 INFO (typ: EQUAL_OP, sl: (ln: 40, cln: 12))
 INFO (typ: IDENT, sl: (ln: 40, cln: 14))
 INFO (typ: COMMA, sl: (ln: 40, cln: 18))
 INFO (typ: IDENT, sl: (ln: 40, cln: 20))
 INFO (typ: IDENT, sl: (ln: 41, cln: 1))
 INFO (typ: OPEN_PAR, sl: (ln: 41, cln: 8))
 INFO (typ: STR, val: 'After first swap:\t{} {}', sl: (ln: 41, cln: 9))
 INFO (typ: COMMA, sl: (ln: 41, cln: 35))
